# algo=mfree_shifted_cg problem=/workspace/bal/venice-52.txt
iter,cost,wall_s
0,11152062.7727624718,0.0000
1,2274695.1544776578,0.0119
2,1506203.5600746712,0.0246
3,1127133.1806397105,0.0392
4,820037.3684094311,0.0528
5,497540.1090263941,0.0692
6,537957.9593599259,0.0837
7,339467.1322238758,0.0928
8,301895.6491136951,0.1129
9,288762.0652651111,0.1286
10,280033.9957768269,0.1405
11,527074.3151373859,0.1495
12,459790.3955587552,0.1612
13,396516.3048375804,0.1730
14,341425.6938772298,0.1851
15,311376.6708159578,0.1941
16,269433.3040507415,0.2032
17,266926.1716740041,0.2122
18,266213.0095581224,0.2212
19,265872.5765259039,0.2302
20,265331.4555464171,0.2392
21,264934.4839516184,0.2483
22,264614.4294491606,0.2573
23,264355.8338523855,0.2663
24,264143.1414161849,0.2753
25,263965.4997736973,0.2844
26,263815.2132174260,0.2934
27,263686.7217763141,0.3024
28,263575.7740783795,0.3115
29,263481.2506161808,0.3205
30,263396.0224044690,0.3295
31,263125.8395626849,0.3386
32,263011.8325891009,0.3476
33,262915.2517998585,0.3566
34,262832.4380631357,0.3657
35,262760.1931198274,0.3747
36,262696.1367420223,0.3837
37,262638.4891782747,0.3927
38,262561.4278640266,0.4027
39,262513.0636095922,0.4117
40,262468.0643237995,0.4207
41,262425.8944756138,0.4298
42,262340.2555189672,0.4397
43,262304.9704575408,0.4487
44,262271.0567363208,0.4578
45,262238.3428602322,0.4668
46,262206.6764463492,0.4759
47,262175.9312691049,0.4849
48,262146.0022014958,0.4939
49,262027.8523737303,0.5039
50,262093.4800478219,0.5129
51,261976.9441611739,0.5219
52,261954.1253420369,0.5310
53,261930.9818163256,0.5400
54,261907.9976915483,0.5490
55,261885.1998457157,0.5581
56,261862.6109115374,0.5671
57,261840.2495649652,0.5761
58,261818.1309371008,0.5851
59,261796.2672618436,0.5941
60,261621.1462577424,0.6041
61,261674.8854581788,0.6131
62,261595.0816485177,0.6221
63,261584.2660367947,0.6312
64,261572.2266914073,0.6402
65,261559.5369034730,0.6493
66,261546.3431481252,0.6583
67,261532.7857909059,0.6672
68,261518.9910052646,0.6763
69,261505.0669762623,0.6852
70,261491.1030311397,0.6943
71,261477.1705526811,0.7034
72,261463.3250764767,0.7124
73,261449.6088484481,0.7214
74,261436.0534717446,0.7304
75,261422.6823296240,0.7395
76,261321.6851797452,0.7494
77,261358.3803826772,0.7585
78,261301.5356005748,0.7675
79,261247.5874554613,0.7811
80,261289.4494828634,0.7901
81,261230.5621357966,0.7991
82,261197.6829192713,0.8146
83,261237.7882068589,0.8236
84,261184.4362871622,0.8326
85,261165.4277402968,0.8582
86,261202.5277304296,0.8672
87,261156.8903209738,0.8763
88,261147.5061041457,0.9047
89,261183.8852435356,0.9137
90,261141.5470475610,0.9227
91,261139.8665914542,0.9455
92,261142.6002586406,0.9545
93,261139.9117486677,0.9636
94,261139.7017949242,0.9726
95,261136.8848388021,0.9817
96,261136.2269627852,0.9907
97,261136.0058779224,0.9997
98,261135.8167057668,1.0087
99,261134.2627954393,1.0177
100,261133.7664105075,1.0267
101,261133.5166055119,1.0358
102,261133.3288179539,1.0448
103,261132.0589725904,1.0538
104,261130.5582223665,1.0647
105,261130.3244332716,1.0737
106,261130.1681218258,1.0827
107,261129.1013493483,1.0917
108,261127.9351872535,1.1045
109,261127.7190241338,1.1135
110,261127.5877997767,1.1225
111,261126.6759750169,1.1316
