# algo=mfree_shifted_cg problem=/workspace/bal/venice-52.txt
iter,cost,wall_s
0,11152062.7727624699,0.0000
1,2274695.1544776554,0.0119
2,1506203.5600746707,0.0247
3,1127133.1806397086,0.0392
4,820037.3684095163,0.0528
5,497540.1090254186,0.0692
6,373473.4895162433,0.0864
7,312813.0363988286,0.1127
8,285659.1634345818,0.1290
9,271070.7604164147,0.1410
10,265559.8850126747,0.1540
11,262360.0382042856,0.1668
12,258725.3278580529,0.1785
13,257432.3165075705,0.1901
14,255127.1626295796,0.1991
15,253913.7253477737,0.2081
16,253204.2267124343,0.2171
17,252796.0359112992,0.2261
18,252186.4344263778,0.2352
19,251721.1055374446,0.2442
20,251342.4086149771,0.2532
21,251032.7992722496,0.2622
22,250775.3865353650,0.2712
23,250558.2680222947,0.2802
24,250372.8340789878,0.2892
25,250212.6999500195,0.2982
26,250073.0126362353,0.3072
27,249949.9944727556,0.3162
28,249840.8015065853,0.3252
29,249743.2133732477,0.3343
30,249358.7475212466,0.3433
31,249197.5770060371,0.3523
32,249057.6245316227,0.3614
33,248935.1830252541,0.3704
34,248826.8627859459,0.3794
35,248730.0235279258,0.3884
36,248642.5981694778,0.3975
37,248562.9577191159,0.4065
38,248419.7927528532,0.4164
39,248405.4116502464,0.4290
40,248402.0474993037,0.4418
41,248377.6220206207,0.4508
42,248354.7274945458,0.4599
43,248332.4749103424,0.4689
44,248310.8244746277,0.4779
45,248289.7398781795,0.4869
46,248269.1868571335,0.4959
47,248249.1334006851,0.5049
48,248229.5493307869,0.5139
49,248210.4059611424,0.5229
50,248175.0976616261,0.5328
51,248168.6328887178,0.5454
52,248160.6828000145,0.5598
53,248073.1503002274,0.5688
54,247953.3551254349,0.5787
55,247927.5232367129,0.5887
56,247905.7075169037,0.5977
57,247899.5503303187,0.6067
58,247816.4568361983,0.6157
59,247669.1393855822,0.6257
60,247640.0716738015,0.6356
61,247633.9159001691,0.6473
62,247627.8102081002,0.6590
63,247621.6766842366,0.6706
64,247615.4865839118,0.6823
65,247609.2272501395,0.6940
66,247602.8921293265,0.7056
67,247596.4772014568,0.7173
68,247589.9795501264,0.7290
69,247583.3976905602,0.7406
70,247576.7300792855,0.7522
71,247569.9756194974,0.7639
72,247563.1339320104,0.7755
73,247556.2052180908,0.7872
74,247487.2453344958,0.8016
75,247331.2799750131,0.8116
76,247274.7556787749,0.8215
77,247271.6831646875,0.8334
78,247268.5216667647,0.8452
79,247265.2632347667,0.8571
80,247261.9019501883,0.8690
81,247258.4334442154,0.8809
82,247254.8542250840,0.8928
83,247251.1604320207,0.9047
84,247247.3500743477,0.9166
85,247243.4208184693,0.9284
86,247239.3713990447,0.9403
87,247235.2017804717,0.9522
88,247230.9100072510,0.9641
89,247226.4976894491,0.9760
90,247221.9644361008,0.9878
91,247217.3123217941,0.9997
92,247212.5424151241,1.0116
93,247207.6572396760,1.0235
94,247202.6587547042,1.0353
95,247197.5496072457,1.0473
96,247192.3327634467,1.0591
97,247187.0120457754,1.0710
98,247053.2582901818,1.0889
99,246875.4951219019,1.0989
100,246873.4841744121,1.1107
101,246871.6143366834,1.1227
102,246869.7880480966,1.1345
103,246867.9496167028,1.1464
104,246866.0665434150,1.1582
105,246864.1191014986,1.1701
106,246862.0943226274,1.1819
107,246859.9837388596,1.1938
108,246775.9418511828,1.2091
109,246688.2508169020,1.2200
110,246686.9933347044,1.2319
111,246685.7274991941,1.2437
112,246684.4250631836,1.2557
113,246683.0686576872,1.2675
114,246681.6467473774,1.2795
115,246680.1503599717,1.2914
116,246678.5755867371,1.3033
117,246676.9208237443,1.3152
118,246636.2384364360,1.3295
119,246498.9463186000,1.3468
120,246494.2010439599,1.3595
121,246446.8420182442,1.3686
122,246376.2304192216,1.4448
123,246375.8873491340,1.4567
124,246368.9958275093,1.4657
125,246345.6001927911,1.5347
126,246341.4725856677,1.5520
127,246336.5515191013,1.6251
128,246335.2791056278,1.6369
129,246333.0109108202,1.6539
130,246332.5414500825,1.6629
131,246332.0161631785,1.6719
132,246331.4505749538,1.6810
133,246330.8509975277,1.6900
134,246330.2289641039,1.6990
135,246329.5955295626,1.7080
136,246328.9594394547,1.7170
137,246328.3270002438,1.7260
138,246327.7024444325,1.7349
139,246327.0884459820,1.7439
140,246326.4865756241,1.7529
141,246325.8976654984,1.7619
142,246325.3220381706,1.7709
143,246324.7597179784,1.7799
