# algo=mfree_shifted_cg problem=/workspace/bal/venice-52.txt
iter,cost,wall_s
0,11152062.7727624681,0.0000
1,2274695.1544776615,0.0123
2,1506203.5600746707,0.0250
3,1127133.1806397084,0.0395
4,820037.3684094209,0.0531
5,497540.1090292413,0.0694
6,373473.4894436914,0.0867
7,368581.3665886431,0.1029
8,314152.1279696020,0.1146
9,293877.2576530182,0.1274
10,279915.9950807217,0.1393
11,277331.1826047762,0.1514
12,276951.6637624032,0.1642
13,274475.8254909368,0.1732
14,270779.6549077326,0.1831
15,269715.1343003957,0.1931
16,267977.4109151823,0.2021
17,266447.2362807872,0.2111
18,264951.7152087461,0.2202
19,263805.5421199879,0.2292
20,262937.7132058443,0.2382
21,262240.2068995798,0.2472
22,261634.7368421692,0.2563
23,261018.0153081855,0.2653
24,260236.6286644516,0.2769
25,259932.5819420245,0.2886
26,259734.6233877629,0.3003
27,259586.6481368862,0.3120
28,259471.1127824064,0.3236
29,259298.6334785218,0.3328
30,259171.2043842793,0.3419
31,259075.9701668342,0.3510
32,258970.2911086617,0.3600
33,258862.9146946294,0.3690
34,258767.4148798559,0.3780
35,258685.8589856992,0.3871
36,258612.5017016913,0.3961
37,258545.6752796138,0.4051
38,258484.7205382166,0.4141
39,258429.1777122041,0.4231
40,258378.6435342622,0.4321
41,258332.7591144991,0.4411
42,258291.2032736197,0.4502
43,258253.6871783725,0.4592
44,258219.9494077224,0.4682
45,258189.7519186474,0.4773
46,258162.8765706613,0.4863
47,258135.5690657655,0.4953
48,258101.5549919393,0.5044
49,258068.7559222610,0.5134
50,258037.1342810655,0.5224
51,258006.6303416904,0.5314
52,257977.1870014039,0.5404
53,257948.7504392951,0.5495
54,257921.2694734556,0.5585
55,257894.6956090126,0.5675
56,257868.9826821018,0.5765
57,257844.0868354066,0.5855
58,257819.9662497303,0.5946
59,257796.5810510335,0.6036
60,257773.8931345686,0.6126
61,257751.8661268574,0.6216
62,257730.4651638756,0.6306
63,257709.6568487019,0.6397
64,257689.4091359544,0.6487
65,257669.6912112968,0.6577
66,257650.4734746323,0.6668
67,257631.7274159853,0.6758
68,257613.4255329306,0.6849
69,257595.5412677634,0.6939
70,257578.0489954335,0.7029
71,257560.9238727230,0.7119
72,257544.1418486437,0.7210
73,257527.6796259144,0.7300
74,257511.5145972555,0.7390
75,257495.6247724835,0.7481
76,257479.9888017731,0.7571
77,257464.5858658219,0.7661
78,257449.3957279460,0.7751
79,257434.3986328892,0.7841
80,257419.5753211559,0.7932
81,257404.9069965992,0.8022
82,257390.3752955587,0.8112
83,257375.9623267630,0.8202
84,257361.6505171154,0.8292
85,257347.4227662933,0.8382
86,257333.2622681118,0.8473
87,257319.1526325451,0.8563
88,257305.0777868145,0.8653
89,257291.0220921717,0.8744
90,257276.9701639511,0.8834
91,257262.9070122288,0.8924
92,257248.8178961570,0.9014
93,257234.6885069073,0.9104
94,257220.5047826149,0.9194
95,257206.2530333622,0.9285
96,257191.9199236391,0.9374
97,257177.4924051098,0.9465
98,257162.9577595475,0.9555
99,257148.3036491208,0.9645
100,257133.5180322528,0.9735
101,257118.5892615511,0.9826
102,257103.5060000492,0.9916
103,257088.2572731486,1.0007
104,257072.8325518178,1.0096
105,257057.2215478968,1.0186
106,257041.4144658635,1.0276
107,257025.4018561284,1.0367
108,257009.1746146834,1.0457
109,256992.7241086226,1.0547
110,256976.0420636872,1.0638
111,256959.1206667944,1.0728
112,256941.9524609291,1.0818
113,256924.5304293391,1.0908
114,256906.8480297662,1.0998
115,256859.2135554412,1.1097
116,256841.3047899104,1.1188
117,256823.1082039121,1.1278
118,256804.6237712140,1.1368
119,256746.3774338098,1.1467
120,256734.4291129303,1.1584
121,256724.1865180288,1.1701
122,256713.8217931641,1.1817
123,256703.1458584059,1.1934
124,256692.1404679051,1.2051
125,256680.7881231129,1.2168
126,255349.6049513709,1.2311
127,253859.0604754558,1.2429
128,251672.2227084209,1.2556
129,249518.7019144910,1.2683
130,248471.8546043290,1.2782
131,247892.3756602968,1.2928
132,247792.7281858726,1.3018
133,247767.0576246316,1.3201
134,247761.5949036560,1.3291
135,247759.5590370404,1.3381
136,247758.6617494185,1.3471
137,247758.0432666098,1.3561
138,247757.5132562978,1.3651
139,247757.0366031635,1.3741
140,247756.6020894033,1.3832
141,247756.2044475528,1.3922
142,247755.8403213124,1.4012
143,247755.5066060792,1.4103
144,247755.1998630339,1.4193
145,247754.9164276411,1.4283
146,247754.6528038068,1.4373
147,247754.4059778669,1.4463
148,247754.1735305178,1.4553
149,247753.9535970224,1.4643
150,247753.7447598297,1.4734
