# algo=mfree_shifted_cg problem=/workspace/bal/dubrovnik-88.txt
iter,cost,wall_s
0,30562787.8472357467,0.0000
0,699062.1731253433,1.7337
1,583808.6654456867,1.7431
2,487235.5462491372,1.7540
3,427852.5815166096,1.7675
4,386239.2184810818,1.7818
5,369940.5226436876,1.7969
6,368915.7763669101,1.8201
7,361146.5778075193,1.8309
8,358781.4321562712,1.8572
9,358275.9658965353,1.8810
10,357349.3690234623,1.8909
11,357305.8273105482,1.9077
12,357262.8737851849,1.9177
13,357254.4973652876,1.9391
14,357248.3092484336,1.9517
15,357245.6820043512,1.9636
16,357244.1033357293,1.9756
17,357243.0594121988,1.9876
18,357242.4435939348,1.9998
19,357242.1871180536,2.0119
20,357241.3063027906,2.0210
21,357241.0186859990,2.0328
22,357240.7671319883,2.0446
23,357240.4774373794,2.0590
24,357240.2717808377,2.0785
25,357240.1189991941,2.0876
26,357240.0752692638,2.0968
27,357239.9968998984,2.1058
28,357239.8555459012,2.1149
29,357239.6347421795,2.1241
30,357239.4171053079,2.1332
