# algo=mfree_shifted_cg problem=/workspace/bal/final-3068.txt
iter,cost,wall_s
0,90993342.0243402421,0.0000
1,7960085.9088322502,0.0404
2,3723398.1420859988,0.0886
3,2649101.3772307588,0.1506
4,2222822.2595935944,0.1868
5,2043410.2440394068,0.2388
6,2002353.4266808608,0.3100
7,1974891.3575902164,0.3746
8,1974811.0142388691,0.4306
9,1974432.8972851648,0.4856
10,1974059.0964888106,0.5406
11,1973842.9409182621,0.5956
12,1958688.7547064745,0.6505
13,1958327.9827116046,0.7056
14,1956835.6002445191,0.8057
15,1956251.0049853353,0.8607
16,1955933.3500646991,0.9157
17,1955528.8649446734,0.9706
18,1955414.1634020966,1.0665
19,1955093.0777368192,1.1224
20,1954940.4533735104,1.1783
21,1954773.4352112326,1.2342
22,1954583.5134144407,1.2901
23,1954385.9539511241,1.3460
24,1954193.0021989706,1.4010
25,1953962.4864610645,1.4559
26,1952988.9664224274,1.5279
27,1951297.3700579577,1.5838
28,1948915.5504390921,1.6388
29,1946892.2601062320,1.6929
30,1928446.3838869815,1.7291
31,1898982.6123310912,1.7653
32,1894598.0111343481,1.8015
33,1892554.2681899439,1.8507
34,1891256.1886883569,1.8998
35,1890060.8537437699,1.9490
36,1888849.5102084498,1.9981
37,1887644.0858142604,2.0488
38,1886433.9536524161,2.0982
39,1883218.0179743448,2.1570
40,1880932.7501627388,2.1932
41,1878776.2807282065,2.2294
42,1876737.4347422551,2.2656
43,1874794.5350226534,2.3018
44,1870014.3169642820,2.3466
45,1861391.7483794733,2.3914
46,1860369.2290928646,2.4416
47,1859306.4344081385,2.4917
48,1858029.7798788208,2.5419
49,1840089.8863224369,2.5954
50,1824483.9970913276,2.6834
51,1808317.9732431918,2.7427
52,1794303.1865097871,2.8408
53,1783895.3708718696,2.9418
54,1776200.5150769863,3.0141
55,1768948.6829472398,3.0503
56,1761489.0082720483,3.0865
57,1756013.0900764135,3.1933
58,1748688.2427389796,3.2598
59,1742253.4662388093,3.2961
