# algo=mfree_shifted_cg problem=/workspace/bal/final-3068.txt
iter,cost,wall_s
0,90993342.0243402421,0.0000
0,90993342.0243402421,2.0493
1,7960085.9088322539,2.0872
2,3723398.1420859895,2.1349
3,2649101.3772307709,2.1971
4,2222822.2595933443,2.2333
5,2043410.2450221013,2.2855
6,2002353.5712814599,2.3568
7,1977570.0044215783,2.4214
8,1977083.9395994456,2.4754
9,1950419.6627638512,2.5665
10,1940029.7549351801,2.6225
11,1929572.0481069884,2.6785
12,1927676.2388782930,2.7431
13,1927244.6399723748,2.8286
14,1916128.4903359117,2.9478
15,1904289.1190547170,3.0153
16,1904175.8830343997,3.0703
17,1899520.3800169725,3.1254
18,1887141.7290281167,3.1911
19,1886860.4595053631,3.2461
20,1886831.9526031571,3.4618
21,1886733.0231857388,3.5159
22,1886664.6021301365,3.6102
23,1886630.6965996507,3.6662
24,1886616.3110679355,3.7612
25,1886319.0232533875,3.8171
26,1885352.3933623864,3.8731
27,1885283.5114376007,3.9290
28,1885283.4397239131,4.0240
29,1885283.0257218350,4.1084
30,1885281.7749157497,4.1576
31,1885281.4645176427,4.2078
32,1885279.8778376887,4.2608
33,1885279.7262600798,4.3139
34,1885279.6794148674,4.3700
35,1885246.6962424947,4.4274
36,1885216.2176017016,4.4834
37,1885147.0390909438,4.5423
38,1885093.9045865722,4.5983
39,1885039.1915227328,4.6544
40,1884984.5296573215,4.7105
41,1884956.7170869277,4.7666
42,1884937.6760525370,4.8227
43,1884931.2383368891,4.8788
44,1884922.3093069396,4.9349
45,1884919.7079067803,4.9910
46,1884917.9434164341,5.0471
47,1884915.9183498020,5.1030
48,1884912.7267849115,5.1590
49,1884906.9554689941,5.2150
50,1884896.0469993749,5.2711
51,1884884.5444725389,5.4532
52,1884874.8938582870,5.4894
53,1884873.8219353282,5.5257
54,1884872.5636157487,5.5619
55,1884870.1645524013,5.5982
56,1884869.3137691133,5.6546
57,1884869.1540206517,5.7110
58,1884868.7566606980,5.7471
