# algo=mfree_shifted_cg problem=/workspace/bal/venice-52.txt
iter,cost,wall_s
0,11152062.7727624718,0.0000
1,2274695.1544776573,0.0130
2,1506203.5600746719,0.0272
3,1127133.1806397119,0.0435
4,820037.3684094342,0.0588
5,497540.1090274395,0.0772
6,373473.4894722716,0.0966
7,312813.0375685667,0.1240
8,285659.2414040938,0.1403
9,271070.8008978654,0.1675
10,265559.9017170353,0.1805
11,262360.0097528476,0.1933
12,258725.2902481060,0.2050
13,257433.2015731341,0.2167
14,255127.5503738325,0.2257
15,253914.6460480871,0.2347
16,253204.1219623100,0.2437
17,252795.9572824580,0.2527
18,252186.3949985307,0.2617
19,251721.0632060834,0.2707
20,251342.3618662590,0.2797
21,251032.7477261424,0.2887
22,250775.3296832145,0.2977
23,250558.2053436958,0.3067
24,250372.7649076899,0.3157
25,250212.6240066942,0.3247
26,250072.9290758661,0.3337
27,249949.9035065833,0.3427
28,249840.7044722791,0.3517
29,249743.1121504200,0.3607
30,249358.6490652829,0.3698
31,249197.4817428221,0.3788
32,249057.5340993422,0.3878
33,248935.0983552762,0.3968
34,248826.7847804908,0.4059
35,248729.9528621892,0.4149
36,248642.5353281774,0.4239
37,248562.9028968134,0.4329
38,248419.7667448841,0.4429
39,248405.3970681617,0.4555
40,248402.0418380668,0.4683
41,248377.6155495654,0.4773
42,248354.7205217389,0.4863
43,248332.4674191607,0.4952
44,248310.8164525126,0.5043
45,248289.7313321177,0.5133
46,248269.1780634662,0.5223
47,248249.1246949845,0.5313
48,248229.5414203222,0.5403
49,248210.4001727728,0.5493
50,248175.0608835898,0.5592
51,248168.6255769689,0.5718
52,248132.3258512256,0.5853
53,248096.1490463302,0.5942
54,248060.5089614542,0.6032
55,248025.3715514945,0.6123
56,247990.6969772223,0.6213
57,247836.0092750218,0.6312
58,247810.4216716887,0.6428
59,247783.4144132463,0.6546
60,247567.4441270214,0.6689
61,247216.5006433147,0.6862
62,247050.7244404714,0.6989
63,247045.8104781884,0.7108
64,246914.6864279603,0.7198
65,246596.1924255464,0.7371
66,246592.7438578577,0.7490
67,246554.8220500667,0.7662
68,246511.7764708025,0.8093
69,246482.4274872290,0.8291
70,246454.3873858343,0.8427
71,246452.7062854588,0.8546
72,246451.1937267747,0.8665
73,246449.8009601329,0.8783
74,246448.4910594879,0.8902
75,246447.2350991181,0.9021
76,246446.0099122397,0.9140
77,246444.7968132193,0.9258
78,246443.5806423867,0.9378
79,246429.5230729624,0.9521
80,246389.2031693984,1.0266
81,246387.9566763821,1.0384
82,246386.8744381763,1.0503
83,246385.8955329385,1.0622
84,246384.9766023593,1.0741
85,246384.0860377677,1.0860
86,246383.2005870328,1.0978
87,246382.3032080038,1.1098
88,246381.3816394288,1.1217
89,246371.5788949488,1.1360
90,246366.4413682551,1.2168
91,246364.8522104477,1.2312
92,246360.5634881872,1.2485
93,246359.3270454079,1.2629
94,246355.3960556965,1.2912
95,246354.3616528872,1.3056
96,246351.8753324332,1.3331
97,246350.9661839757,1.3474
98,246349.2132188811,1.3767
99,246348.3945750768,1.3911
100,246346.2856296917,1.4452
101,246345.5306510114,1.4596
102,246344.5248606040,1.4723
103,246343.8830828505,1.4867
104,246342.9884390139,1.4985
