# algo=mfree_shifted_cg problem=/workspace/bal/venice-52.txt
iter,cost,wall_s
0,11152062.7727624681,0.0000
0,1455645.5599053595,0.2156
1,1407946.1855672710,0.2248
2,1337910.6364530849,0.2357
3,1227327.4058822296,0.2475
4,1069711.7030213396,0.2611
5,851174.2836364282,0.2795
6,567767.8473718347,0.3006
7,525313.8962273033,0.3170
8,316099.6140239605,0.3261
9,302530.8962074270,0.3425
10,281390.9851024094,0.3579
11,272107.9100534561,0.3696
12,270053.2762009106,0.3843
13,264439.5434443247,0.3960
14,262612.9000430079,0.4086
15,261620.2753392736,0.4216
16,260616.3548555453,0.4337
17,259947.5666834646,0.4466
18,259190.8492711491,0.4595
19,258775.6276362740,0.4694
20,258392.5175742229,0.4784
21,257722.4816859649,0.4874
22,257119.6936743469,0.4965
23,256898.7483053399,0.5064
24,256453.2815354932,0.5154
25,256306.2872440333,0.5253
26,255945.5051060097,0.5343
27,255644.0274453067,0.5433
28,255386.9699213779,0.5523
29,255164.4965957932,0.5613
30,254970.0500921894,0.5703
31,254798.8056209411,0.5793
32,254647.0858435113,0.5883
33,254512.0385105310,0.5974
34,254391.4128146118,0.6064
35,254283.4012571679,0.6154
36,254186.5278342947,0.6244
37,254099.5678424170,0.6334
38,254021.4902365398,0.6425
39,253951.4148405704,0.6515
40,253888.5804319869,0.6604
41,253832.3199875400,0.6695
42,253782.0409528765,0.6785
43,253737.2091116136,0.6875
44,253618.2743958733,0.6965
45,253543.5346783344,0.7055
46,253474.4704979120,0.7145
47,253410.5671409910,0.7235
48,253351.2124699164,0.7325
49,253295.8761235179,0.7415
50,253244.0974772052,0.7505
51,253195.4756871260,0.7595
52,253149.6611001553,0.7685
53,253106.3480695039,0.7776
54,253065.2688029433,0.7866
55,253026.1880757055,0.7956
56,252988.8987307985,0.8046
57,252953.2175969783,0.8136
58,252918.9817760536,0.8226
59,252886.0444834876,0.8316
60,252854.2685631805,0.8407
61,252823.5078104154,0.8497
62,252793.4918654840,0.8587
63,252771.3513595094,0.8677
64,252706.2903104101,0.8776
65,252700.3927270811,0.8902
66,252635.1321134112,0.8992
67,252612.1957064880,0.9082
68,252589.4469309910,0.9172
69,252523.4322403531,0.9272
70,252472.4742543041,0.9442
71,252406.4090522188,0.9542
72,252399.9341889598,0.9670
73,252397.5703718784,0.9807
74,252395.3765571554,0.9944
75,252393.5257734642,1.0082
76,252391.6171488138,1.0191
77,252390.0461910605,1.0299
78,252389.0840741048,1.0426
79,252388.1777866397,1.0551
80,252387.2957049226,1.0677
81,252386.5851858148,1.0840
82,252385.8821898693,1.0939
83,252385.1833440947,1.1038
84,252384.4885659673,1.1138
85,252383.7978402915,1.1237
86,252383.1111256068,1.1336
87,252382.4283935565,1.1436
88,252381.7496401943,1.1535
