# algo=mfree_shifted_cg problem=/workspace/bal/final-3068.txt
iter,cost,wall_s
0,90993342.0243402272,0.0000
1,19550689.4468049221,0.0388
2,13775151.6381557789,0.0864
3,26540684.2565846443,0.1417
4,22564982307.8772888184,0.1804
5,1635558446706.8188476562,0.2170
6,265935233.0271436870,0.2988
7,31406551.9425417893,0.3497
8,32488050.1207168661,0.4228
9,26084583.1888496354,0.4748
10,3431997159.9365110397,0.5247
11,647347513.7686345577,0.5728
12,148813607.1755845249,0.6211
13,42637009.5473489761,0.6693
14,19890959.2485281527,0.7184
15,18015264.6221651919,0.7676
16,14127858.1958372444,0.8198
17,7056808.5499289893,0.8679
18,5805612.9934939984,0.9160
19,4595152.7330370136,0.9642
20,3842204.4736980717,1.0124
21,3383687.0984671949,1.0463
22,3250456.6184815997,1.0935
23,3123730.9538809238,1.1273
24,2848641.0397914452,1.1848
25,2689607.9191742712,1.2517
26,2602800.8459042800,1.3018
27,2526760.7352938596,1.3500
28,2484189.6443279921,1.4001
29,2304934.1208554446,1.4473
30,2112430.3226912594,1.4920
31,2042802.8270606541,1.5259
32,2013631.8152272650,1.5599
33,1993854.7456894773,1.5996
34,1983461.6044413710,1.6452
35,1976822.9437906316,1.6849
36,1971344.5849063459,1.7245
37,1966718.5856498077,1.7642
38,1962720.0523326588,1.8039
39,1959198.8820730343,1.8435
40,1956050.8197689033,1.8832
41,1953201.4156209789,1.9230
42,1950595.8468652768,1.9626
43,1948192.7701715943,2.0023
44,1945960.3508762955,2.0419
45,1943873.6428879513,2.0817
46,1941912.7970728909,2.1213
47,1940061.8047719137,2.1610
48,1938307.6019698961,2.2007
49,1936639.4169114796,2.2405
50,1935048.2856838719,2.2802
51,1933526.6886099298,2.3199
52,1932068.2706122554,2.3596
53,1930667.6257562672,2.3995
54,1929320.1255315647,2.4392
55,1928021.7821705216,2.4789
56,1926769.1364658894,2.5186
57,1925559.1660631543,2.5582
58,1924389.2086066960,2.5981
59,1923256.8975088343,2.6377
60,1922160.1083599629,2.6774
61,1921096.9150317258,2.7169
62,1920065.5533923223,2.7565
63,1919064.3933600816,2.7962
64,1918091.9170061832,2.8358
65,1917146.7020678194,2.8756
66,1916227.4099729494,2.9154
67,1915332.7770445861,2.9551
68,1914461.6083937902,2.9948
69,1913612.7730356194,3.0346
70,1912785.2004324442,3.0742
71,1911977.8777212717,3.1140
72,1911189.8471253032,3.1537
73,1910420.2037856216,3.1934
74,1909668.0936994082,3.2330
75,1908932.7114650519,3.2728
76,1908213.2983379872,3.3125
77,1907509.1399719673,3.3522
78,1906819.5643441263,3.3919
79,1906143.9396791181,3.4316
80,1905481.6722182035,3.4713
81,1904832.2039688018,3.5111
82,1904195.0107466104,3.5507
83,1903569.5999271274,3.5904
84,1902955.5085233587,3.6302
85,1902352.3010670191,3.6699
86,1901759.5678421739,3.7097
87,1901176.9229198275,3.7494
88,1900604.0025526150,3.7890
89,1900040.4635263414,3.8288
90,1899485.9815896843,3.8685
91,1898940.2500615905,3.9082
92,1898402.9786184789,3.9479
93,1897873.8918783523,3.9876
94,1897352.7284580695,4.0273
95,1896839.2399350698,4.0669
96,1896333.1898430809,4.1066
97,1895834.3529182002,4.1462
98,1895342.5141959786,4.1860
99,1894857.4684131967,4.2257
100,1894379.0193629870,4.2654
101,1893906.9792707576,4.3052
102,1893441.1682593341,4.3449
103,1892981.4139704232,4.3847
104,1892527.5509951760,4.4245
105,1892079.4205590202,4.4642
106,1891636.8701457714,4.5039
107,1891199.7531421569,4.5438
108,1890767.9285777789,4.5834
109,1890341.2608582310,4.6232
110,1889919.6193785993,4.6629
111,1889502.8784718106,4.7027
112,1889090.9170799279,4.7425
113,1888683.6185191732,4.7823
114,1888280.8704018525,4.8220
115,1887882.5643212805,4.8618
116,1887488.5958089749,4.9015
117,1887098.8640927072,4.9414
118,1886713.2719088523,4.9810
119,1886331.7254841703,5.0208
120,1885954.1342511610,5.0605
121,1885580.4108035143,5.1003
122,1885210.4707167100,5.1400
123,1884844.2324460335,5.1798
124,1884481.6171921119,5.2195
125,1884122.5487975727,5.2593
126,1883766.9536189022,5.2990
127,1883414.7604040941,5.3388
128,1883065.9002338897,5.3785
129,1882720.3063731282,5.4182
130,1882377.9142255974,5.4580
131,1882038.6612336638,5.4978
132,1881702.4867655295,5.5375
133,1881369.3320786667,5.5773
134,1881039.1402818826,5.6171
135,1880711.8562367589,5.6567
136,1880387.4265402255,5.6965
137,1880065.7995219175,5.7362
138,1879746.9251637910,5.7760
139,1879430.7551223258,5.8158
140,1879117.2427143380,5.8556
141,1878806.3429790160,5.8953
142,1878498.0126492479,5.9350
143,1878192.2102055105,5.9747
144,1877888.8958738667,6.0145
145,1877588.0317290283,6.0542
146,1877289.5816837747,6.0939
147,1876993.5115891581,6.1337
148,1876699.7892441875,6.1734
149,1876408.3844697070,6.2132
150,1876119.2691683241,6.2529
151,1875832.4173395629,6.2928
152,1875547.8051283776,6.3326
153,1875265.4108760171,6.3723
154,1874985.2151329129,6.4121
155,1874707.2006387459,6.4518
156,1874431.3523501230,6.4916
157,1874157.6574031531,6.5313
158,1873886.1050806502,6.5710
159,1873616.6867199722,6.6108
160,1873349.3956382782,6.6506
161,1873084.2269960605,6.6904
162,1872821.1776705852,6.7302
163,1872560.2460561690,6.7700
164,1872301.4318319212,6.8098
165,1872044.7357252205,6.8496
166,1871790.1592430535,6.8893
167,1871537.7043525602,6.9289
168,1871287.3731583611,6.9687
169,1871039.1675235229,7.0085
170,1870793.0887171992,7.0482
171,1870549.1371007729,7.0879
172,1870307.3117101833,7.1277
