# algo=mfree_shifted_cg problem=/workspace/bal/final-3068.txt
iter,cost,wall_s
0,90993342.0243402421,0.0000
1,7960085.9088322464,0.0398
2,3723398.1420859993,0.0896
3,2649101.3772305408,0.1509
4,2222822.2595802494,0.1849
5,2043410.2361648243,0.2350
6,2002349.5530951358,0.3044
7,1973601.6442532407,0.3669
8,1973332.5406509037,0.4190
9,1972824.3247489091,0.4702
10,1950874.3137240852,0.5203
11,1940608.3347913022,0.5734
12,1930207.2044009902,0.6264
13,1927017.1275683201,0.6882
14,1926203.2851705346,0.7673
15,1914084.5371732069,0.8302
16,1901725.6001017671,0.8928
17,1900963.1066542447,0.9429
18,1896483.4622046531,0.9941
19,1886549.9748424557,1.0597
20,1885208.6060724196,1.1254
21,1880954.6036163939,1.2443
22,1877484.4799236867,1.3119
23,1876771.0852086153,1.3641
24,1874945.9691596888,1.4941
25,1873979.4271746741,1.5483
26,1872195.2405136661,1.6148
27,1871098.0148320664,1.6803
28,1868788.8346458378,1.7306
29,1868597.9846690421,1.7837
30,1867696.5978581347,1.8494
31,1866694.4367194658,1.9150
32,1866189.2258331513,1.9785
33,1865331.4096431942,2.0937
34,1864120.8557208818,2.1594
35,1863814.7782222067,2.2241
36,1862903.2369074132,2.3392
37,1861719.9342336927,2.4050
38,1861599.2721634638,2.4696
39,1860745.0564984493,2.5353
40,1859522.2456188069,2.6008
41,1859190.0670073433,2.6655
42,1858270.1401037786,2.7807
43,1856950.9529647846,2.8492
44,1856070.4036857502,2.9644
45,1854974.3545297473,3.0331
46,1854776.3966916250,3.0978
47,1854169.2876718596,3.1548
48,1853111.4406466642,3.2189
49,1852134.0103119800,3.2845
50,1851670.0561527291,3.3686
51,1850755.4360717435,3.4217
52,1850312.7458017413,3.4758
53,1849924.1109995327,3.5279
54,1849586.0167375542,3.5830
55,1849167.3780512435,3.6380
56,1848373.4106310422,3.7016
57,1847254.1365750059,3.7682
58,1846455.2260544726,3.8318
59,1844989.9651021573,3.8965
60,1843579.3459581796,3.9467
61,1842929.1739642371,3.9989
62,1842634.1830678016,4.0939
63,1842123.4117613924,4.1499
64,1841719.8580814779,4.2050
65,1840883.4458990279,4.2676
66,1839784.0129892942,4.3303
67,1838735.9592871759,4.3804
68,1803294.9644787612,4.4145
69,1790239.5131580117,4.4513
70,1789168.1031857051,4.4998
71,1787617.2915744854,4.5482
72,1787534.0279577381,4.5974
73,1787450.7651582041,4.6465
74,1787366.5018984934,4.6957
75,1787280.4856974438,4.7450
76,1787192.1912189350,4.7942
77,1787101.2437940482,4.8434
78,1787007.5529599143,4.8933
79,1786494.1759763868,4.9594
80,1786023.4718715094,4.9935
81,1785573.0614312205,5.0274
82,1785121.7142595146,5.0614
83,1784654.2986293009,5.0954
84,1784161.8231255477,5.1294
85,1783219.7102320848,5.1662
86,1780623.1430691958,5.2232
87,1777245.4908883607,5.2832
88,1772934.4081455977,5.3432
89,1772662.8490756622,5.3904
90,1770901.7633159489,5.4244
91,1769602.8260825211,5.4584
92,1768131.3653297753,5.4924
93,1766667.4235467694,5.5264
94,1759642.4731159832,5.6093
95,1752448.9440679885,5.6894
96,1747268.5970715631,5.7800
97,1744754.6864661509,5.8484
