# algo=mfree_shifted_cg problem=/workspace/bal/venice-52.txt
iter,cost,wall_s
0,11152062.7727624681,0.0000
1,2772472.4805224929,0.0124
2,2374448.8323500822,0.0265
3,46062212.8502230793,0.0371
4,177959209.1537252069,0.0501
5,150932954.4794687629,0.0598
6,142517201.3488698602,0.0765
7,87595796.1376449466,0.0861
8,71786507.1812648028,0.0956
9,51652241.8125713691,0.1052
10,49315000013903.0000000000,0.1146
11,7963786066807.9892578125,0.1237
12,1422428220638.3457031250,0.1327
13,188730066360.4838867188,0.1416
14,51556964556.7756881714,0.1549
15,7933329983.7261819839,0.1648
16,340135419.7712946534,0.1738
17,6211889.8589409934,0.1829
18,3018611.8992947144,0.1976
19,1817757.9379311295,0.2094
20,1277240.6144458775,0.2220
21,1143274.4990892715,0.2339
22,1056756.5689162891,0.2706
23,996127.7472389345,0.2827
24,957220.6228206957,0.2948
25,925309.5427489725,0.3070
26,886669.5141538919,0.3201
27,855998.8816859085,0.3322
28,823763.0276071042,0.3443
29,785523.9427391081,0.3574
30,753852.6579401555,0.3696
31,723069.2834784484,0.3817
32,693834.6125263243,0.3939
33,670897.5660997338,0.4223
34,638241.3602084733,0.4343
35,606372.8693534129,0.4462
36,591643.6401951991,0.4579
37,578369.6058859691,0.4669
38,517480.8694037038,0.4759
39,515333.2223856861,0.4849
40,513158.5603888648,0.4938
41,509690.7265391450,0.5028
42,507185.5962039750,0.5128
43,502437.6287740576,0.5227
44,492462.4431625254,0.5317
45,483793.3578725774,0.5425
46,475837.1809628769,0.5561
47,470922.6465385442,0.5696
48,470743.9135853341,0.5836
49,467567.2205070490,0.5926
50,461368.4448497100,0.6099
51,455608.0675397754,0.6364
52,455547.9304312302,0.6502
53,454487.8157291677,0.6592
54,449043.9269457954,0.6838
55,448857.9757375784,0.6976
56,448698.1490187916,0.7114
57,448528.3293573025,0.7252
58,446873.4892505261,0.7341
59,443609.7353904589,0.7486
60,441337.6691183150,0.7577
61,438395.2146426798,0.7888
62,437809.9939804843,0.8025
63,437215.7007677715,0.8164
64,435687.9637796412,0.8254
65,431857.6873921983,0.8592
66,428326.9334418711,0.9132
67,425692.3819019254,0.9426
68,419764.2225104155,1.0023
69,418046.1214424653,1.0151
70,415861.2234641540,1.0241
71,409081.1712400967,1.1499
72,407329.0915124753,1.1820
73,403123.1081331657,1.2380
74,400484.8105063716,1.2470
75,395931.2073193233,1.3251
76,390211.5135371858,1.3894
77,387625.8605000842,1.3984
78,384436.1124289415,1.4608
79,383615.8357315931,1.5220
80,378129.6843091163,1.5468
81,377625.1341167805,1.6086
82,374960.2692151317,1.6185
83,374316.2742172185,1.6792
84,373364.1495771892,1.7407
85,373155.5641170236,1.7506
86,372486.6554761619,1.8092
87,372110.6752613218,1.8732
88,371613.2646403152,1.8840
89,371604.0134164407,1.8930
90,371354.7710888768,1.9588
91,371136.9955492471,1.9717
92,371131.6198499264,1.9834
93,371011.9720765066,2.0483
94,370847.7941575344,2.0574
95,370779.0099683402,2.1408
96,370710.9836236676,2.1498
97,370707.4576648485,2.1625
98,370704.3229853351,2.1715
99,370661.4349426311,2.3774
100,370657.0555646463,2.3874
101,370654.7430442111,2.4001
102,370652.6046492397,2.4091
103,370606.4772877553,2.5343
104,370603.7003715992,2.5434
105,370596.5564471045,2.6766
106,370583.5180415521,2.7711
107,370575.2430451128,2.7811
108,370567.6216424771,2.8850
109,370565.8129151699,2.8959
110,370564.3030486487,2.9049
111,370553.6207127821,3.0300
112,370534.6884953465,3.1155
113,370533.5734154420,3.1245
114,370501.1973784361,3.2497
115,370499.0944841431,3.2586
116,370458.9549782671,3.3837
117,370444.0469806482,3.3927
118,370417.6749419547,3.5179
119,370403.9017409529,3.5269
120,370388.7901101190,3.6520
121,370381.0478599359,3.6611
122,370373.4314121079,3.7859
123,370366.8531086046,3.7950
124,370364.0379350499,3.9202
125,370358.1456442651,3.9293
126,370355.7141615150,4.0569
127,370354.8915934884,4.0659
128,370353.0670483151,4.1937
129,370352.1912302712,4.2027
130,370350.7258122647,4.3304
131,370349.7865025806,4.3394
132,370348.7602236412,4.4669
133,370347.5544349595,4.4760
134,370347.4742241390,4.6073
135,370347.3946299095,4.6972
136,370346.5280045742,4.8149
137,370344.9287461648,4.8239
138,370344.5566002857,4.9543
139,370319.1981574965,4.9817
140,370261.8918622222,5.0016
141,370220.8465735907,5.0134
142,370208.4272159587,5.0280
143,370206.8801547406,5.0379
144,370206.6607854133,5.0581
145,370206.3395843346,5.0671
146,370206.1398239061,5.1316
147,370206.0047166531,5.1675
148,370205.7011953881,5.1766
149,370205.5431240235,5.2381
150,370205.4646372455,5.2583
151,370205.1331735898,5.2673
152,370205.0478912430,5.4133
153,370204.6352093624,5.5338
154,370204.4280722040,5.5429
155,370204.1952082714,5.7434
156,370204.0226776444,5.7791
157,370203.7815071380,5.7882
158,370203.5749321364,5.9957
