# algo=mfree_shifted_cg problem=/workspace/bal/venice-52.txt
iter,cost,wall_s
0,11152062.7727624681,0.0000
1,2274695.1544776601,0.0120
2,1506203.5600746721,0.0247
3,1127133.1806397119,0.0392
4,820037.3684094326,0.0528
5,497540.1090291846,0.0692
6,373473.4894400678,0.0865
7,312813.0364325494,0.1127
8,285659.1241678100,0.1291
9,271070.7397413662,0.1412
10,265559.8540071943,0.1543
11,262360.0762313883,0.1672
12,258725.3863588689,0.1788
13,257432.9220603002,0.1906
14,255127.5331029338,0.1996
15,253913.1332643109,0.2085
16,253203.9727455640,0.2176
17,252795.9918271686,0.2266
18,252186.4348175531,0.2355
19,251721.1033507877,0.2445
20,251342.4035486730,0.2535
21,251032.7911308286,0.2625
22,250775.3753300776,0.2714
23,250558.2538187823,0.2804
24,250372.8165555730,0.2894
25,250212.6792835547,0.2984
26,250072.9886712149,0.3074
27,249949.9671532813,0.3164
28,249840.7713285543,0.3254
29,249743.1807540732,0.3344
30,249358.7167407889,0.3434
31,249197.5467240685,0.3523
32,249057.5954283695,0.3613
33,248935.1556497760,0.3703
34,248826.8374882012,0.3794
35,248730.0006610776,0.3884
36,248642.5780604667,0.3974
37,248562.9404609970,0.4064
38,248419.7916510878,0.4163
39,248405.4111396430,0.4289
40,248402.0669151186,0.4417
41,248377.6405679493,0.4508
42,248354.7461052412,0.4598
43,248332.4940544406,0.4688
44,248310.8447682046,0.4778
45,248289.7619836810,0.4868
46,248269.2116500264,0.4958
47,248249.1619916490,0.5048
48,248229.5832298463,0.5138
49,248210.4475060809,0.5228
50,248175.1239270495,0.5327
51,248168.6954139984,0.5453
52,248143.5327137705,0.5587
53,248117.4975749247,0.5677
54,248091.0381343628,0.5767
55,248064.1805031516,0.5857
56,248036.9543960879,0.5947
57,248009.3891707645,0.6037
58,247981.5027786724,0.6127
59,247953.2458577147,0.6217
60,247924.0400505640,0.6307
61,247886.4961442387,0.6397
62,247696.1643405988,0.6496
63,247673.4947539411,0.6613
64,247650.8012654547,0.6731
65,247627.5605829349,0.6848
66,247603.7503690534,0.6965
67,247579.4602337088,0.7082
68,247554.7944582903,0.7200
69,247529.8511208464,0.7317
70,247504.7175807754,0.7434
71,247479.4720781975,0.7551
72,247454.1825011542,0.7669
73,247428.9083871914,0.7786
74,246936.2954828094,0.7885
75,246858.0295569429,0.8020
76,246848.7254911987,0.8140
77,246840.4985627604,0.8259
78,246832.5147062554,0.8379
79,246729.6371051429,0.8469
80,246591.2941885035,0.8872
81,246515.3513640402,0.9008
82,246474.7796379410,0.9179
83,246388.3668884729,0.9886
84,246387.1552633582,1.0006
85,246386.1724029314,1.0124
86,246385.3294850820,1.0243
87,246384.5657756448,1.0362
88,246383.8388921934,1.0482
89,246383.1189925901,1.0602
90,246382.3851442716,1.0721
91,246381.6230204315,1.0841
92,246372.2620903823,1.0983
93,246361.2786193688,1.1708
94,246355.3606715745,1.1853
95,246351.2117956880,1.1996
96,246341.6382266792,1.2686
97,246339.0898951370,1.2847
98,246338.2771020159,1.2937
99,246337.2783092089,1.3081
100,246333.9841858700,1.3751
101,246333.2720836019,1.3894
102,246331.8713978256,1.4509
103,246331.3314528495,1.4652
104,246330.5116195555,1.4990
105,246330.0542105672,1.5133
106,246329.6923950106,1.5278
107,246329.2665793406,1.5368
108,246328.9662315657,1.5458
