# algo=mfree_shifted_cg problem=/workspace/bal/dubrovnik-88.txt
iter,cost,wall_s
0,30562787.8472357281,0.0000
1,2170136.3176783440,0.0120
2,869806.2790742534,0.0246
3,567418.6040721685,0.0415
4,400594.1646215611,0.0506
5,371447.4905175524,0.0658
6,362562.8273576752,0.0749
7,360836.3575592024,0.1034
8,359914.4666429054,0.1281
9,359384.0194183404,0.1400
10,359238.3602303370,0.1518
11,359181.6069812220,0.1637
12,359164.3598756199,0.1755
13,358999.8680436334,0.1846
14,358973.4666194262,0.1937
15,358961.0654437214,0.2055
16,358958.8732189855,0.2176
17,358952.4651518255,0.2349
18,358950.2863854609,0.2440
19,358949.6654116905,0.2558
20,358949.3202710308,0.2677
21,358949.0246542477,0.2795
22,358948.7390749293,0.2913
23,358948.4687246706,0.3032
24,358948.2044010183,0.3151
25,358947.8834022381,0.3242
26,358947.5957490675,0.3333
27,358947.3066435603,0.3424
28,358946.9974361060,0.3515
29,358946.6967651211,0.3606
30,358946.3646051327,0.3698
31,358946.0440101967,0.3789
32,358945.7252406679,0.3880
33,358945.4119972729,0.3971
