# algo=mfree_shifted_cg problem=/workspace/bal/dubrovnik-88.txt
iter,cost,wall_s
0,30562787.8472357355,0.0000
1,2170136.3176783496,0.0118
2,869806.2790742533,0.0244
3,567418.6040721687,0.0411
4,400594.1646215617,0.0502
5,371447.4905175162,0.0653
6,362562.8273564455,0.0743
7,360836.3551249233,0.1026
8,359914.9628137261,0.1272
9,359384.4499817122,0.1389
10,359238.8276685480,0.1507
11,359182.0695399655,0.1625
12,359164.8355047480,0.1742
13,358999.6941669303,0.1833
14,358973.4688587760,0.1922
15,358961.3926054411,0.2040
16,358959.2607859724,0.2160
17,358952.9593081950,0.2331
18,358950.7792841361,0.2422
19,358950.1622867316,0.2539
20,358949.8171678283,0.2656
21,358949.5216828870,0.2774
22,358949.2314125468,0.2891
23,358948.9576137452,0.3008
24,358948.6917223097,0.3126
25,358948.4311563015,0.3243
26,358948.1185736902,0.3334
27,358947.8029708973,0.3424
28,358947.4893107720,0.3514
29,358947.1743101890,0.3604
30,358946.8596772323,0.3694
31,358946.5447565685,0.3783
32,358946.2301258670,0.3874
33,358945.9162748698,0.3964
