# algo=mfree_shifted_cg problem=/workspace/bal/dubrovnik-88.txt
iter,cost,wall_s
0,30562787.8472357355,0.0000
1,2170136.3176783444,0.0121
2,869806.2790742539,0.0247
3,567418.6040721691,0.0415
4,400594.1646215610,0.0507
5,371447.4905175229,0.0658
6,362562.8273575206,0.0749
7,360836.3574993236,0.1034
8,359914.6572963237,0.1280
9,359384.1187613375,0.1399
10,359238.4116316193,0.1517
11,359181.6604204847,0.1634
12,359164.4316263396,0.1753
13,359000.6284774871,0.1844
14,358972.7392849247,0.1934
15,358960.7745316740,0.2053
16,358958.6599618954,0.2173
17,358952.3295203964,0.2346
18,358950.1879418605,0.2437
19,358949.5779560690,0.2555
20,358949.2351675898,0.2673
21,358948.9402938839,0.2791
22,358948.6551158539,0.2909
23,358948.3836832748,0.3027
24,358948.1189321922,0.3145
25,358947.8613372692,0.3263
26,358947.5639555015,0.3407
27,358947.2492542083,0.3497
28,358946.9361640716,0.3588
29,358946.6269225260,0.3679
30,358946.3127897267,0.3770
31,358945.9981935705,0.3861
32,358945.6791930552,0.3953
33,358945.3670897363,0.4045
