# algo=mfree_shifted_cg problem=/workspace/bal/dubrovnik-88.txt
iter,cost,wall_s
0,30562787.8472357392,0.0000
1,2170136.3176783463,0.0131
2,869806.2790742532,0.0270
3,567418.6040721692,0.0458
4,400594.1646215604,0.0558
5,371447.4905173202,0.0726
6,362562.8273431750,0.0826
7,360836.3577020953,0.1144
8,359914.5787898093,0.1420
9,359383.8520569689,0.1551
10,359238.0188676266,0.1681
11,359181.2584675344,0.1812
12,359163.9946197399,0.1943
13,358998.4930089301,0.2043
14,358971.8400110537,0.2137
15,358960.0125020876,0.2253
16,358957.8841700803,0.2372
17,358951.5586822426,0.2542
18,358949.4224696458,0.2632
19,358948.8164731812,0.2749
20,358948.4750214646,0.2866
21,358948.1803811211,0.2982
22,358947.8962041724,0.3099
23,358947.6277366299,0.3217
24,358947.3633946226,0.3333
25,358947.1036285696,0.3450
26,358946.7875421268,0.3540
27,358946.4738779124,0.3629
28,358946.1595419651,0.3719
29,358945.8436174715,0.3809
30,358945.5410421952,0.3898
31,358945.2281863691,0.3988
32,358944.9153768549,0.4078
33,358944.6027335831,0.4167
