# algo=mfree_shifted_cg problem=/workspace/bal/dubrovnik-88.txt
iter,cost,wall_s
0,30562787.8472357355,0.0000
8,365624.7740975889,0.0872
9,363693.6843771469,0.0991
10,363570.7391400711,0.1115
11,363366.4247015365,0.1238
12,363190.7201497182,0.1356
13,362957.4410927615,0.1526
14,362946.1208151309,0.1616
15,362917.2667308328,0.1707
16,362902.6783312335,0.1798
17,362894.5277740419,0.1888
18,362889.4866695706,0.1978
19,362885.1637473578,0.2069
20,362881.0083645909,0.2160
21,362876.9645788512,0.2251
22,362873.0294193765,0.2342
23,362869.2028823005,0.2433
24,362865.4849063216,0.2524
25,362861.8752485096,0.2615
26,362858.3734754624,0.2706
27,362854.9789748435,0.2797
28,362851.6909360775,0.2888
29,362848.5083680609,0.2979
30,362845.4300884696,0.3070
31,362842.4547522670,0.3161
32,362839.5808270599,0.3252
33,362836.8066251038,0.3342
34,362834.1303108195,0.3433
35,362831.5498838723,0.3524
36,362829.0631918327,0.3615
37,362826.6679301809,0.3707
38,362824.3616104065,0.3797
39,362822.1417263820,0.3887
40,362820.0061202138,0.3978
