# algo=mfree_shifted_cg problem=/workspace/bal/final-3068.txt
iter,cost,wall_s
0,90993342.0243402421,0.0000
8,4754038.8021098962,0.3577
9,4344552.0341131100,0.3967
10,2934374.7857574322,0.4478
11,2781136.1304315524,0.4969
12,2694451.7170929243,0.5460
13,2644409.4855931164,0.6000
14,2614518.6515195034,0.6559
15,2514076.9417655510,0.7099
16,2394072.0190519085,0.7611
17,2313447.9813684616,0.8111
18,2217538.2229638938,0.8611
19,2186222.5484337774,0.9101
20,2129353.2536416762,0.9594
21,1962714.2516635507,0.9955
22,1961236.9276946941,1.0474
23,1942372.3125459477,1.0965
24,1933663.8682095020,1.1455
25,1931870.1155477567,1.1955
26,1929338.6317265090,1.2317
27,1925850.2653118954,1.2807
28,1925633.9198370108,1.3168
29,1924561.5933597311,1.3668
30,1924226.0805173307,1.4158
31,1923776.7943893422,1.4658
32,1922464.5227299444,1.5149
33,1919451.8265107698,1.5510
34,1916923.9191197411,1.5872
35,1914065.4520053212,1.6233
36,1913737.2819768819,1.6723
37,1912724.2724948111,1.7085
38,1912461.8087257734,1.7446
39,1910941.8805524244,1.8008
40,1910736.8002880716,1.8369
41,1910416.9246192374,1.8729
42,1909768.8775702652,1.9091
43,1908488.3304322471,1.9452
44,1905975.5290592052,1.9813
45,1901243.1738167785,2.0175
46,1892827.1173150053,2.0536
47,1879311.0306528029,2.0897
48,1866863.3804263286,2.1258
49,1864628.1354073926,2.1758
50,1853631.1473156854,2.2250
51,1842778.3793878679,2.2697
52,1835847.5001387554,2.3203
53,1830920.1869614122,2.3679
54,1826778.4289536155,2.4157
55,1823196.9672548545,2.4633
56,1820019.0067213178,2.5109
57,1817151.1396786466,2.5585
58,1814530.5067485303,2.6062
59,1812113.3595160346,2.6538
60,1809867.4644283268,2.7014
61,1807768.3246353162,2.7490
62,1805796.7173869552,2.7967
63,1803937.2286145515,2.8444
64,1802292.4701763524,2.8892
65,1800684.2597774577,2.9341
66,1799144.7532725541,2.9788
67,1797667.7763301572,3.0235
68,1796250.4550940564,3.0683
69,1794888.3510136462,3.1142
70,1793577.8135589224,3.1589
71,1792315.2018581859,3.2037
72,1791097.3646620815,3.2486
73,1789921.3864405144,3.2934
74,1788784.5803526039,3.3381
75,1787684.5480741342,3.3829
76,1786619.0462719195,3.4277
77,1785586.0583339692,3.4724
78,1784583.6985488578,3.5172
79,1783610.2436707439,3.5619
80,1782664.1206756355,3.6067
81,1781743.8528569664,3.6515
82,1780848.0785644271,3.6963
83,1779975.5531837293,3.7411
84,1779125.1128039486,3.7859
85,1778295.6744878481,3.8307
86,1777486.2475253167,3.8754
87,1776695.8992478324,3.9202
88,1775923.7632702575,3.9651
89,1775169.0368957203,4.0098
90,1774430.9647637778,4.0545
91,1773708.8416775865,4.0993
92,1773002.0095761530,4.1443
93,1772309.8489396463,4.1890
94,1771631.7769708454,4.2338
95,1770967.2454303189,4.2786
96,1770315.7358861442,4.3234
97,1769676.7591599352,4.3682
98,1769049.8511888888,4.4128
99,1768434.5708680784,4.4576
100,1767830.4991896146,4.5023
101,1767237.2380381126,4.5471
102,1766654.4058529467,4.5919
103,1766081.6389385220,4.6367
104,1765518.5885606115,4.6815
105,1764964.9210421632,4.7262
106,1764420.3154736906,4.7710
107,1763884.4635272662,4.8169
108,1763357.0694086289,4.8617
109,1762837.8470662581,4.9064
110,1762326.5217713604,4.9511
111,1761822.8277135112,4.9959
112,1761326.5088109847,5.0408
113,1760837.3174020625,5.0855
114,1760355.0139923447,5.1303
115,1759879.3668741798,5.1751
116,1759410.1518645182,5.2198
117,1758947.1516797899,5.2646
118,1758490.1557471440,5.3093
119,1758038.9598691009,5.3541
120,1757593.3656549393,5.3988
121,1757153.1805725722,5.4435
122,1756718.2175468854,5.4882
123,1756288.2945885411,5.5330
124,1755863.2347141888,5.5777
125,1755442.8655994372,5.6225
126,1755027.0193199669,5.6673
127,1754615.5321618977,5.7121
128,1754208.2445611274,5.7569
129,1753805.0008573178,5.8017
130,1753405.6489644547,5.8465
131,1753010.0405836278,5.8913
132,1752618.0308713359,5.9360
133,1752229.4787139671,5.9808
134,1751844.2466371874,6.0256
135,1751462.2009404120,6.0704
136,1751083.2122365520,6.1151
137,1750707.1556739241,6.1599
138,1750333.9116040736,6.2047
139,1749963.3665986520,6.2494
140,1749595.4143502952,6.2942
141,1749229.9573076877,6.3389
142,1748866.9083845608,6.3836
143,1748506.1926046265,6.4285
144,1748147.7499113632,6.4733
145,1747791.5369715891,6.5180
146,1747437.5297156947,6.5628
147,1747085.7250584371,6.6075
148,1746736.1421023535,6.6523
149,1746388.8214313786,6.6971
150,1746043.8231568099,6.7418
151,1745701.2224125352,6.7866
152,1745361.1030041254,6.8314
153,1745023.5491820525,6.8761
154,1744688.6371447553,6.9209
