# algo=mfree_shifted_cg problem=/workspace/bal/venice-52.txt
iter,cost,wall_s
0,11152062.7727624681,0.0000
8,421770.8870060483,0.0926
9,370666.8121888146,0.1047
10,355818.9275437127,0.1168
11,332728.8662591664,0.1284
12,329904.5647175492,0.1414
13,317028.3354544633,0.1530
14,313644.8020385050,0.1727
15,307567.6255244151,0.1816
16,304554.8159697866,0.1925
17,301517.4894502775,0.2015
18,299720.3353592664,0.2124
19,297749.7779200738,0.2214
20,296683.7277714143,0.2323
21,295096.7588395081,0.2413
22,293869.7451408185,0.2503
23,292898.9245272607,0.2593
24,292115.6332368520,0.2683
25,291489.7058426397,0.2773
26,291002.0188475034,0.2863
27,290638.4665231680,0.2953
28,290232.2860508189,0.3044
29,289828.2573997267,0.3134
30,289465.4139714279,0.3224
31,289289.1979975072,0.3332
32,288985.1851718777,0.3422
33,288710.1260882365,0.3512
34,288460.1008008336,0.3601
35,288231.2116172928,0.3692
36,288077.0171268188,0.3800
37,287878.9914628777,0.3891
38,287692.6878798127,0.3981
39,287516.0523614311,0.4071
40,287346.6228201091,0.4161
41,287182.0883540616,0.4252
42,287020.2843367035,0.4342
43,286859.1566390347,0.4432
44,286696.7705814472,0.4522
45,286531.4145560445,0.4612
46,286361.0719832430,0.4702
47,286184.3975426065,0.4793
48,285999.8841475286,0.4883
49,285806.2122133764,0.4973
50,285602.2329984452,0.5063
51,285386.9532649112,0.5153
52,285159.5714362693,0.5243
53,284919.4720933470,0.5333
54,284445.7062382267,0.5442
55,284183.4177582552,0.5532
56,283905.5913572750,0.5622
57,283613.2338769378,0.5712
58,283306.7464057042,0.5802
59,282663.0402177064,0.5911
60,282330.9452631234,0.6001
61,281984.6522912641,0.6091
62,281218.6707210135,0.6200
63,280846.8854846882,0.6290
64,280463.4005369236,0.6380
65,279556.6191637254,0.6489
66,279345.9049604087,0.6606
67,279173.0121690439,0.6722
68,278982.3061054801,0.6839
69,278768.6167965787,0.6955
70,278532.2857310205,0.7072
71,278335.1737405410,0.7216
72,277888.5920552950,0.7325
73,277104.0548832014,0.7433
74,276817.2171823427,0.7523
75,276511.3624777156,0.7613
76,276189.2717106617,0.7703
77,275176.2401149134,0.7812
78,274963.1961597794,0.7902
79,274622.7854280767,0.7992
80,274186.1422547525,0.8082
81,272869.0172967375,0.8190
82,272467.3966396084,0.8280
83,271878.3458552504,0.8371
84,271165.9792458587,0.8461
85,268311.3170655064,0.8585
86,255421.3877652042,0.8703
87,251484.9298538119,0.8987
88,249744.6519333903,0.9538
89,248834.2581641526,0.9730
90,248280.0793704687,0.9922
91,247897.2275216865,1.0214
92,247632.3221785064,1.0406
93,247417.1700847947,1.0710
94,247254.5735572773,1.0901
95,247107.9142594509,1.1212
96,246992.6149263373,1.1403
97,246882.2593707527,1.1742
98,246794.5952590881,1.1933
99,246708.5131058761,1.2272
100,246639.7999569770,1.2464
101,246571.4775385002,1.2802
102,246516.7703597604,1.2994
103,246462.0112226116,1.3333
104,246418.0458150581,1.3524
105,246373.8831237368,1.3864
106,246338.2857896046,1.4055
107,246302.4659575260,1.4394
108,246273.4693480417,1.4586
109,246244.2540212756,1.4925
110,246220.4866679832,1.5117
111,246196.5319021495,1.5480
112,246176.9262934303,1.5672
113,246157.1694687884,1.6010
114,246140.8893493072,1.6202
115,246124.4890351907,1.6541
116,246110.8744043957,1.6733
117,246097.1672611015,1.7072
118,246085.6965608090,1.7263
119,246074.1577013057,1.7602
120,246064.4194155127,1.7796
121,246054.6317531305,1.8135
122,246046.2978646209,1.8327
123,246037.9316937636,1.8666
124,246030.7426649282,1.8858
125,246023.5345807499,1.9197
126,246017.2942888900,1.9379
127,246011.0392089068,1.9708
128,246005.5701098546,1.9891
129,246000.0962938993,2.0220
130,245995.2688410147,2.0403
131,245990.4493786327,2.0723
132,245986.1593129811,2.0905
133,245981.8845191091,2.1226
134,245978.0497649198,2.1408
135,245974.2362833093,2.1728
136,245970.7906882083,2.1911
137,245967.3712417098,2.2231
138,245964.2614617841,2.2413
139,245961.1818681704,2.2734
140,245958.3646618164,2.2917
141,245955.5807009363,2.3237
142,245953.0205477593,2.3420
143,245950.4971492008,2.3731
144,245948.1644832858,2.3913
145,245945.8696699253,2.4224
146,245943.7399315376,2.4407
147,245941.6485703228,2.4718
148,245939.7006866591,2.4900
149,245937.8349696682,2.5083
150,245936.0472080204,2.5265
151,245934.3337823420,2.5447
152,245932.6912436253,2.5630
153,245931.1162862826,2.5812
154,245929.6057504170,2.5994
155,245928.1566144932,2.6177
156,245926.7670360426,2.6350
157,245925.4326485166,2.6524
158,245924.1512056371,2.6697
159,245922.9202252730,2.6870
