algorithm,cohort,iteration,seconds,cost,event
Eta2,"fresh display trace, N=1",0,0.0,1126369344.6739264,initial
Eta2,"fresh display trace, N=1",0,0.03392439400000136,1126369344.6739264,setup_complete
Eta2,"fresh display trace, N=1",1,0.6920243940000014,105781959.3548435,outer_complete
Eta2,"fresh display trace, N=1",2,1.5577243940000014,47052353.00287486,outer_complete
Eta2,"fresh display trace, N=1",3,2.5260243940000016,32518307.799757343,outer_complete
Eta2,"fresh display trace, N=1",4,3.2391243940000014,27422876.287969034,outer_complete
Eta2,"fresh display trace, N=1",5,4.114824394000001,26557474.04424841,outer_complete
Eta2,"fresh display trace, N=1",6,4.972824394000002,26077922.570021693,outer_complete
Eta2,"fresh display trace, N=1",7,5.883524394000001,26008604.97404978,outer_complete
Eta2,"fresh display trace, N=1",8,6.759024394000002,25911104.091813132,outer_complete
Eta2,"fresh display trace, N=1",9,7.617224394000002,25556479.556434784,outer_complete
Eta2,"fresh display trace, N=1",10,8.279324394000001,25245540.146467954,outer_complete
Eta2,"fresh display trace, N=1",11,8.941324394000002,25090402.287686244,outer_complete
Eta2,"fresh display trace, N=1",12,9.816724394000001,25002884.460090697,outer_complete
Eta2,"fresh display trace, N=1",13,10.478524394,24949413.993539993,outer_complete
Eta2 + rank16,"fresh display trace, N=1",0,0.0,1126369344.6739264,initial
Eta2 + rank16,"fresh display trace, N=1",0,0.0515175990000003,1126369344.6739264,setup_complete
Eta2 + rank16,"fresh display trace, N=1",1,0.7104175990000003,105781959.35484338,outer_complete
Eta2 + rank16,"fresh display trace, N=1",2,1.5755175990000003,47052353.002874866,outer_complete
Eta2 + rank16,"fresh display trace, N=1",3,2.543417599,32518307.799762193,outer_complete
Eta2 + rank16,"fresh display trace, N=1",4,3.2557175990000005,27422876.115958676,outer_complete
Eta2 + rank16,"fresh display trace, N=1",5,4.131317599,26557478.163443867,outer_complete
Eta2 + rank16,"fresh display trace, N=1",6,4.988417599,26079499.219992734,outer_complete
Eta2 + rank16,"fresh display trace, N=1",7,5.8982175990000005,26010037.55510909,outer_complete
Eta2 + rank16,"fresh display trace, N=1",8,6.773117599,25911909.659420084,outer_complete
Eta2 + rank16,"fresh display trace, N=1",9,7.630417599,25559684.91635075,outer_complete
Eta2 + rank16,"fresh display trace, N=1",10,8.291817599,25246690.965756956,outer_complete
Eta2 + rank16,"fresh display trace, N=1",11,8.953617599000001,25062669.42665462,outer_complete
Eta2 + rank16,"fresh display trace, N=1",12,9.828517599,24996076.722367972,outer_complete
Caspar FP32 (historical),historical median-target-time run from N=3,0,0.0,1126365184.0,initial
Caspar FP32 (historical),historical median-target-time run from N=3,1,0.574489688,216351744.0,accepted
Caspar FP32 (historical),historical median-target-time run from N=3,2,1.374489909,93496080.0,accepted
Caspar FP32 (historical),historical median-target-time run from N=3,3,2.17346566,61841616.0,accepted
Caspar FP32 (historical),historical median-target-time run from N=3,4,2.972333,48149744.0,accepted
Caspar FP32 (historical),historical median-target-time run from N=3,5,3.392395302,40043524.0,accepted
Caspar FP32 (historical),historical median-target-time run from N=3,6,3.640139339,34855528.0,accepted
Caspar FP32 (historical),historical median-target-time run from N=3,7,3.887797445,31310144.0,accepted
Caspar FP32 (historical),historical median-target-time run from N=3,8,4.20437393,29252836.0,accepted
Caspar FP32 (historical),historical median-target-time run from N=3,9,4.520980545,28377900.0,accepted
Caspar FP32 (historical),historical median-target-time run from N=3,10,4.837570829,28134974.0,accepted
Caspar FP32 (historical),historical median-target-time run from N=3,11,5.566710132,28134974.0,rejected
Caspar FP32 (historical),historical median-target-time run from N=3,12,6.296777865,27740042.0,accepted
Caspar FP32 (historical),historical median-target-time run from N=3,13,7.095703315,27490128.0,accepted
Caspar FP64 (historical),historical median-target-time run from N=3,0,0.0,1126369344.6739066,initial
Caspar FP64 (historical),historical median-target-time run from N=3,1,1.254274642,216345530.3137614,accepted
Caspar FP64 (historical),historical median-target-time run from N=3,2,2.970587139,93491899.906511,accepted
Caspar FP64 (historical),historical median-target-time run from N=3,3,4.687018826,61839211.486728534,accepted
Caspar FP64 (historical),historical median-target-time run from N=3,4,6.402570863,48148285.54885008,accepted
Caspar FP64 (historical),historical median-target-time run from N=3,5,8.118858889,39813569.87894232,accepted
Caspar FP64 (historical),historical median-target-time run from N=3,6,9.833818006,34170610.14632383,accepted
Caspar FP64 (historical),historical median-target-time run from N=3,7,11.549815033,30406420.99069363,accepted
Caspar FP64 (historical),historical median-target-time run from N=3,8,13.2662679,28407546.82131772,accepted
Caspar FP64 (historical),historical median-target-time run from N=3,9,14.982270346,27580841.40778876,accepted
