seed,pixels,rank,iteration,seconds_after_setup,cost
17,0.25,0,0,0.0,1.4630636830173363e+18
17,0.25,0,1,2.3011,1.4629020548411146e+18
17,0.25,0,2,2.9621,1.4615364418552128e+18
17,0.25,0,3,3.6227,1.4596707054409485e+18
17,0.25,0,4,4.5333,1.4556362376950848e+18
17,0.25,0,5,5.4266,1.4422537857716685e+18
17,0.25,0,6,6.3384,1.396139069752605e+18
17,0.25,0,7,7.2859,1.2544216059527754e+18
17,0.25,0,8,8.2698,8.995932378061958e+17
17,0.25,0,9,9.2541,5.961299789589539e+17
17,0.25,0,10,10.2217,3.4710687043262835e+17
17,0.25,0,11,11.2067,3.4630850774668845e+17
17,0.25,16,0,0.0,1.4630636830173366e+18
17,0.25,16,1,2.3033,1.462902054841115e+18
17,0.25,16,2,2.963,1.4615364418552125e+18
17,0.25,16,3,3.6229,1.4596707054409487e+18
17,0.25,16,4,4.5327,1.4556362376950843e+18
17,0.25,16,5,5.4255,1.4422537857716675e+18
17,0.25,16,6,6.3358,1.396139069752603e+18
17,0.25,16,7,7.2825,1.2544216059527808e+18
17,0.25,16,8,8.2653,8.995932378060621e+17
17,0.25,16,9,9.2489,5.961299790647832e+17
17,0.25,16,10,10.2156,3.4710687072321165e+17
17,0.25,16,11,11.1998,3.463085081662708e+17
17,1.0,16,0,0.0,2.3407998811868172e+19
17,1.0,16,1,2.302,2.3405466163923833e+19
17,1.0,16,2,3.2905,2.3403968831953908e+19
17,1.0,16,3,3.9502,2.3395286200166978e+19
17,1.0,16,4,4.8071,2.338586930657126e+19
17,1.0,16,5,5.6993,2.3370211196554478e+19
17,1.0,16,6,6.626,2.3331169938807747e+19
17,1.0,16,7,7.5532,2.321542325193966e+19
17,1.0,16,8,8.499,2.303838851886784e+19
17,1.0,16,9,9.4636,2.247854781218898e+19
17,1.0,16,10,10.4467,2.073794892981515e+19
17,1.0,16,11,11.4309,1.6119519800080847e+19
17,1.0,0,0,0.0,2.3407998811868172e+19
17,1.0,0,1,2.2999,2.340546616392383e+19
17,1.0,0,2,3.2897,2.3403968831953908e+19
17,1.0,0,3,3.9505,2.3395286200166978e+19
17,1.0,0,4,4.8084,2.338586930657126e+19
17,1.0,0,5,5.7016,2.337021119655448e+19
17,1.0,0,6,6.6297,2.3331169938807747e+19
17,1.0,0,7,7.5578,2.321542325193965e+19
17,1.0,0,8,8.5042,2.303838851886785e+19
17,1.0,0,9,9.4704,2.2478547812189032e+19
17,1.0,0,10,10.4544,2.073794892981444e+19
17,1.0,0,11,11.4396,1.6119519799948616e+19
29,0.25,16,0,0.0,3.7261869518652826e+18
29,0.25,16,1,1.9716,3.721672220634678e+18
29,0.25,16,2,3.2892,3.7214602359090964e+18
29,0.25,16,3,3.9491,3.7198939585600865e+18
29,0.25,16,4,4.8235,3.7160495737995796e+18
29,0.25,16,5,5.6806,3.7084919714156846e+18
29,0.25,16,6,6.5902,3.6908697562825795e+18
29,0.25,16,7,7.5698,3.647021837646439e+18
29,0.25,16,8,8.5329,3.5625161319340524e+18
29,0.25,16,9,9.4972,3.2442879152104484e+18
29,0.25,16,10,10.4798,2.424224525791316e+18
29,0.25,16,11,11.4624,1.5219522416529157e+18
29,0.25,0,0,0.0,3.726186951865282e+18
29,0.25,0,1,1.9743,3.721672220634677e+18
29,0.25,0,2,3.2924,3.721460235909096e+18
29,0.25,0,3,3.953,3.7198939585600865e+18
29,0.25,0,4,4.828,3.71604957379958e+18
29,0.25,0,5,5.6859,3.7084919714156856e+18
29,0.25,0,6,6.5966,3.6908697562825784e+18
29,0.25,0,7,7.5774,3.647021837646438e+18
29,0.25,0,8,8.5422,3.5625161319340513e+18
29,0.25,0,9,9.5071,3.2442879152104387e+18
29,0.25,0,10,10.4905,2.424224525791383e+18
29,0.25,0,11,11.4746,1.52195224165398e+18
29,1.0,0,0,0.0,5.962895826927576e+19
29,1.0,0,1,2.3024,5.9623150453301264e+19
29,1.0,0,2,2.963,5.958130851352566e+19
29,1.0,0,3,4.2817,5.957884010504813e+19
29,1.0,0,4,5.1398,5.956876723308248e+19
29,1.0,0,5,6.0153,5.9545787801649e+19
29,1.0,0,6,6.9096,5.9492201138826445e+19
29,1.0,0,7,7.821,5.925592215706631e+19
29,1.0,0,8,8.769,5.827584728214092e+19
29,1.0,0,9,9.7526,5.462614229356027e+19
29,1.0,0,10,10.7374,4.368997574036119e+19
29,1.0,0,11,11.7048,2.5619615090782814e+19
29,1.0,16,0,0.0,5.9628958269275775e+19
29,1.0,16,1,2.3024,5.962315045330126e+19
29,1.0,16,2,2.9619,5.9581308513525694e+19
29,1.0,16,3,4.2799,5.9578840105048154e+19
29,1.0,16,4,5.1371,5.956876723308251e+19
29,1.0,16,5,6.0118,5.954578780164904e+19
29,1.0,16,6,6.9048,5.9492201138826445e+19
29,1.0,16,7,7.8157,5.9255922157066306e+19
29,1.0,16,8,8.763,5.827584728214096e+19
29,1.0,16,9,9.7454,5.4626142293560435e+19
29,1.0,16,10,10.7294,4.368997574036283e+19
29,1.0,16,11,11.6957,2.5619615090763235e+19
43,0.25,0,0,0.0,4.4076817849707023e+18
43,0.25,0,1,2.3023,4.407212533897454e+18
43,0.25,0,2,2.963,4.4037519708727444e+18
43,0.25,0,3,3.9526,4.401632602236796e+18
43,0.25,0,4,4.6139,4.399565556589704e+18
43,0.25,0,5,5.4894,4.3944222995442166e+18
